RUS,ENG
Когда-то эти драгоценные идеи стали спасительными для моего сына.,Once these precious ideas became a lifeline for my son.
"Возможно, у вас или у ваших детей тоже есть проблемы с мышлением и вниманием.",It is possible that you or your children also have problems with thinking and attention.
"В таком случае эта книга послужит первоклассным гидом на пути к выздоровлению и полному раскрытию потенциала, заложенному самой Природой.","In that case, this book will serve as a first-class guide on the path to recovery and the full realization of the potential inherent in Nature itself."
Питер Гринлоу.,Peter Greenlow.
"Автор книги «Почему диеты не приносят пользы»

   Впереди медицины!","Author of the book ""Why Diets Are Useless"" Ahead of Medicine!"
В очередной раз Джон Грэй «впереди медицины»!,"Once again, John Gray is ""ahead of medicine""!"
Это одно из самых глубоких исследований природных способов улучшения работы мозга.,This is one of the most in-depth studies of natural ways to enhance brain function.
"Джон Грэй описывает и личный опыт, и результаты передовых исследований.",John Gray describes both personal experiences and the results of cutting-edge research.
"Это вдохновляет и дает дополнительный стимул к тому, чтобы менять себя и свой образ жизни!",It inspires and gives extra motivation to change oneself and one's lifestyle!
Дэвид Б.,David B.
"Эллис

   Просто, насколько это возможно!","Ellis, as simply as possible!"
"Альберт Эйнштейн сказал: «Все должно быть изложено так просто, как только возможно, но не проще».","Albert Einstein said, ""Everything should be made as simple as possible, but not simpler."""
Эта книга на 100 % соответствует высказыванию великого ученого.,This book is 100% consistent with the statement of the great scientist.
"Всего один час с этой книгой – и у вас появится 100 идей, как сделать свою жизнь и работу эффективней, и все 100 идей вы сможете легко реализовать.","Just one hour with this book, and you'll have 100 ideas on how to make your life and work more efficient, all of which you can easily implement."
"Спасибо доктору Грэю, что он разобрался с мифами вокруг синдрома дефицита внимания и указал верный путь к борьбе с ним.",Thanks to Dr. Gray for dispelling the myths surrounding attention deficit disorder and pointing out the right way to tackle it.
"Берт Байер, преподаватель, доктор психологии

   Эта книга – ваша лучшая инвестиция!","Bert Bayer, instructor, Doctor of Psychology

   This book is your best investment!"
"Мне, как и сотням моих коллег, знакомо такое понятие, как прокрастинация.","I, like hundreds of my colleagues, am familiar with the concept of procrastination."
"Что я только ни придумывала, чтобы не писать важную статью… Мыла квартиру, занималась йогой, звонила маме, проверяла электронную почту!","Whatever I came up with to avoid writing the important article... I cleaned the apartment, did yoga, called my mom, checked my email!"
"Я ругала себя изо всех сил, но не могла сосредоточиться на работе.","I scolded myself as much as I could, but I couldn't focus on work."
Эта книга стала моим спасением и билетом в новую лучшую жизнь.,"This book became my salvation and ticket to a new, better life."
Теперь я могу плодотворно работать и перестала изводить себя и своих близким вечным недовольством собой и всем вокруг.,Now I can work productively and have stopped tormenting myself and my loved ones with constant dissatisfaction with myself and everything around me.
"Молли Грилэнд, журналист

   Если вы хотите получить более подробную информацию, посетите сайтmarsvenus.com.","Molly Greeland, journalist

   If you would like more detailed information, visit marsvenus.com."
"Посвящаю эту книгу своей дочери, Лорэн.","I dedicate this book to my daughter, Lauren."
"Значительная часть идей, изложенных в книге, возникла благодаря тому, что меня вдохновило невероятно сильное стремление Лорэн к впечатляющим достижениям в таких сферах жизни, как здоровье и взаимоотношения с людьми.",A significant portion of the ideas presented in the book originated from being inspired by Lauren's incredibly strong drive for impressive achievements in areas of life such as health and interpersonal relationships.
"Слова благодарности
   Выражаю признательность своей жене, Бонни Грэй, за то, что уже тридцать лет она дарит мне настоящую любовь и поддерживает в моих начинаниях.","I express gratitude to my wife, Bonnie Gray, for giving me true love and supporting my endeavors for thirty years."
